REGION,YEAR,week,UNWEIGHTED ILI
Illinois,2014,13,2.03628
Illinois,2014,14,1.96344
Illinois,2014,15,1.95187
Illinois,2014,16,1.78886
Illinois,2014,17,1.86204
Illinois,2014,18,1.7144
Illinois,2014,19,1.99132
Illinois,2014,20,1.63255
Illinois,2014,21,1.73257
Illinois,2014,22,1.56121
Illinois,2014,23,1.48708
Illinois,2014,24,1.42806
Illinois,2014,25,1.40261
Illinois,2014,26,1.08399
Illinois,2014,27,0.875356
Illinois,2014,28,0.898938
Illinois,2014,29,0.826602
Illinois,2014,30,0.788524
Illinois,2014,31,0.770412
Illinois,2014,32,0.810804
Illinois,2014,33,0.79646
Illinois,2014,34,0.993506
Illinois,2014,35,0.850544
Illinois,2014,36,1.17051
Illinois,2014,37,1.87919
Illinois,2014,38,1.80433
Illinois,2014,39,1.59832
Illinois,2014,40,1.47637
Illinois,2014,41,1.4802
Illinois,2014,42,1.64143
Illinois,2014,43,1.59675
Illinois,2014,44,1.74722
Illinois,2014,45,1.95543
Illinois,2014,46,2.16649
Illinois,2014,47,2.55336
Illinois,2014,48,3.8006
Illinois,2014,49,4.50272
Illinois,2014,50,5.69394
Illinois,2014,51,5.97552
Illinois,2014,52,5.59515
Illinois,2014,53,4.32647
Illinois,2015,1,3.07323
Illinois,2015,2,2.31324
Illinois,2015,3,2.21313
Illinois,2015,4,2.28888
Illinois,2015,5,2.34961
Illinois,2015,6,2.37306
Illinois,2015,7,2.37467
Illinois,2015,8,2.41691
Illinois,2015,9,2.60679
Illinois,2015,10,2.62478
Illinois,2015,11,2.80325
Illinois,2015,12,2.92099
Illinois,2015,13,2.87552
Illinois,2015,14,2.45215
Illinois,2015,15,2.02342
Illinois,2015,16,1.85577
Illinois,2015,17,1.75137
Illinois,2015,18,1.63577
Illinois,2015,19,1.50995
Illinois,2015,20,1.49161
Illinois,2015,21,1.28484
Illinois,2015,22,1.39058
Illinois,2015,23,1.26708
Illinois,2015,24,1.07415
Illinois,2015,25,1.24446
Illinois,2015,26,1.11324
Illinois,2015,27,1.04587
Illinois,2015,28,1.02889
Illinois,2015,29,1.0008
Illinois,2015,30,1.06443
Illinois,2015,31,1.11983
Illinois,2015,32,0.987891
Illinois,2015,33,0.901366
Illinois,2015,34,1.0581
Illinois,2015,35,1.01978
Illinois,2015,36,1.22324
Illinois,2015,37,1.4677
Illinois,2015,38,1.42413
Illinois,2015,39,1.28036
Illinois,2015,40,1.63805
Illinois,2015,41,1.7586
Illinois,2015,42,1.6042
Illinois,2015,43,1.77543
Illinois,2015,44,1.79698
Illinois,2015,45,2.01816
Illinois,2015,46,1.89498
